"Company Name","Executive First Name","Executive Last Name","Professional Title","Executive Title","Executive Gender","Address","City","State","ZIP Code","ZIP Four","Carrier Route","Delivery Point Barcode","County","Metro Area","Neighborhood","Phone Number Combined","Fax Number Combined","Toll Free Number Combined","Website","Company Description","Primary SIC Code","Primary SIC Description","Primary SIC Ad Size","Primary SIC Year Appeared","SIC Code 1","SIC Code 1 Description","SIC Code 1 Ad Size","SIC Code 1 Year Appeared","SIC Code 2","SIC Code 2 Description","SIC Code 2 Ad Size","SIC Code 2 Year Appeared","SIC Code 3","SIC Code 3 Description","SIC Code 3 Ad Size","SIC Code 3 Year Appeared","SIC Code 4","SIC Code 4 Description","SIC Code 4 Ad Size","SIC Code 4 Year Appeared","SIC Code 5","SIC Code 5 Description","SIC Code 5 Ad Size","SIC Code 5 Year Appeared","SIC Code 6","SIC Code 6 Description","SIC Code 6 Ad Size","SIC Code 6 Year Appeared","SIC Code 7","SIC Code 7 Description","SIC Code 7 Ad Size","SIC Code 7 Year Appeared","SIC Code 8","SIC Code 8 Description","SIC Code 8 Ad Size","SIC Code 8 Year Appeared","SIC Code 9","SIC Code 9 Description","SIC Code 9 Ad Size","SIC Code 9 Year Appeared","SIC Code 10","SIC Code 10 Description","SIC Code 10 Ad Size","SIC Code 10 Year Appeared","Primary NAICS","Primary NAICS Description","NAICS 1","NAICS 1 Description","NAICS 2","NAICS 2 Description","NAICS 3","NAICS 3 Description","NAICS 4","NAICS 4 Description","NAICS 5","NAICS 5 Description","NAICS 6","NAICS 6 Description","NAICS 7","NAICS 7 Description","NAICS 8","NAICS 8 Description","NAICS 9","NAICS 9 Description","NAICS 10","NAICS 10 Description","Franchise Description 1","Franchise Description 2","Franchise Description 3","Franchise Description 4","Franchise Description 5","Cuisine Code","Cuisine Code Description","Location Employee Size Range","Location Employee Size Actual","Location Sales Volume Range","Location Sales Volume Actual","Corporate Employee Size Range","Corporate Employee Size Actual","Corporate Sales Volume Range","Corporate Sales Volume Actual","Type of Business","Location Type","IUSA Number","Parent IUSA Number","Subsidiary IUSA Number","Foreign Parent Flag","EIN 1","EIN 2","EIN 3","Fortune 1000 Ranking","Credit Cards Accepted","Last Updated On","Years In Database","Year Established","Square Footage","Home Business","Credit Score Alpha","Government Office","Import Export Flag","Own or Lease","Firm or Individual","Monday Open","Monday Close","Tuesday Open","Tuesday Close","Wednesday Open","Wednesday Close","Thursday Open","Thursday Close","Friday Open","Friday Close","Saturday Open","Saturday Close","Sunday Open","Sunday Close","Executive First Name 1","Executive Last Name 1","Executive Title 1","Executive Gender 1","Executive First Name 2","Executive Last Name 2","Executive Title 2","Executive Gender 2","Executive First Name 3","Executive Last Name 3","Executive Title 3","Executive Gender 3","Executive First Name 4","Executive Last Name 4","Executive Title 4","Executive Gender 4","Executive First Name 5","Executive Last Name 5","Executive Title 5","Executive Gender 5","Executive First Name 6","Executive Last Name 6","Executive Title 6","Executive Gender 6","Executive First Name 7","Executive Last Name 7","Executive Title 7","Executive Gender 7","Executive First Name 8","Executive Last Name 8","Executive Title 8","Executive Gender 8","Executive First Name 9","Executive Last Name 9","Executive Title 9","Executive Gender 9","Executive First Name 10","Executive Last Name 10","Executive Title 10","Executive Gender 10","Executive First Name 11","Executive Last Name 11","Executive Title 11","Executive Gender 11","Executive First Name 12","Executive Last Name 12","Executive Title 12","Executive Gender 12","Executive First Name 13","Executive Last Name 13","Executive Title 13","Executive Gender 13","Executive First Name 14","Executive Last Name 14","Executive Title 14","Executive Gender 14","Executive First Name 15","Executive Last Name 15","Executive Title 15","Executive Gender 15","Executive First Name 16","Executive Last Name 16","Executive Title 16","Executive Gender 16","Executive First Name 17","Executive Last Name 17","Executive Title 17","Executive Gender 17","Executive First Name 18","Executive Last Name 18","Executive Title 18","Executive Gender 18","Executive First Name 19","Executive Last Name 19","Executive Title 19","Executive Gender 19","Executive First Name 20","Executive Last Name 20","Executive Title 20","Executive Gender 20","Executive First Name 21","Executive Last Name 21","Executive Title 21","Executive Gender 21","Executive First Name 22","Executive Last Name 22","Executive Title 22","Executive Gender 22","Executive First Name 23","Executive Last Name 23","Executive Title 23","Executive Gender 23","Executive First Name 24","Executive Last Name 24","Executive Title 24","Executive Gender 24","Executive First Name 25","Executive Last Name 25","Executive Title 25","Executive Gender 25","Executive First Name 26","Executive Last Name 26","Executive Title 26","Executive Gender 26","Executive First Name 27","Executive Last Name 27","Executive Title 27","Executive Gender 27","Executive First Name 28","Executive Last Name 28","Executive Title 28","Executive Gender 28","Executive First Name 29","Executive Last Name 29","Executive Title 29","Executive Gender 29","Executive First Name 30","Executive Last Name 30","Executive Title 30","Executive Gender 30","Executive First Name 31","Executive Last Name 31","Executive Title 31","Executive Gender 31","Executive First Name 32","Executive Last Name 32","Executive Title 32","Executive Gender 32","Executive First Name 33","Executive Last Name 33","Executive Title 33","Executive Gender 33","Executive First Name 34","Executive Last Name 34","Executive Title 34","Executive Gender 34","Executive First Name 35","Executive Last Name 35","Executive Title 35","Executive Gender 35","Executive First Name 36","Executive Last Name 36","Executive Title 36","Executive Gender 36","Executive First Name 37","Executive Last Name 37","Executive Title 37","Executive Gender 37","Executive First Name 38","Executive Last Name 38","Executive Title 38","Executive Gender 38","Executive First Name 39","Executive Last Name 39","Executive Title 39","Executive Gender 39","Executive First Name 40","Executive Last Name 40","Executive Title 40","Executive Gender 40","Executive First Name 41","Executive Last Name 41","Executive Title 41","Executive Gender 41","Executive First Name 42","Executive Last Name 42","Executive Title 42","Executive Gender 42","Executive First Name 43","Executive Last Name 43","Executive Title 43","Executive Gender 43","Executive First Name 44","Executive Last Name 44","Executive Title 44","Executive Gender 44","Executive First Name 45","Executive Last Name 45","Executive Title 45","Executive Gender 45","Executive First Name 46","Executive Last Name 46","Executive Title 46","Executive Gender 46","Executive First Name 47","Executive Last Name 47","Executive Title 47","Executive Gender 47","Executive First Name 48","Executive Last Name 48","Executive Title 48","Executive Gender 48","Executive First Name 49","Executive Last Name 49","Executive Title 49","Executive Gender 49","Executive First Name 50","Executive Last Name 50","Executive Title 50","Executive Gender 50","Ticker Symbol","Stock Exchange","Accounting Expenses","Advertising  Expenses","Computer Expenses","Contract Labor Expenses","Insurance Expenses","Legal Expenses","Office Supplies Expense","Management/Administration Expenses","Package Container Expense","Payroll and Benefits Expenses","Purchase Print Expenses","Rent Expenses","Telcom Expenses","Utilities Expenses","Mailing Address","Mailing City","Mailing State","Mailing Zip Code","Mailing Zip Four","Mailing Carrier Route","Mailing Delivery Point Bar Code","Twitter","Linked-In","Facebook","Franchise/Specialty Code 2.0","Franchise/Specialty Code 2.1","Franchise/Specialty Code 3.0","Franchise/Specialty Code 3.1","Franchise/Specialty Code 4.0","Franchise/Specialty Code 4.1","Franchise/Specialty Code 5.0","Franchise/Specialty Code 5.1","Franchise/Specialty Code 6.0","Affiliated Records","Franchise/Specialty Code 6.1","Affiliated Locations","Federal Contractor","Census Block Group","Record Type"
"Publix Super Market","Greg","Campbell","","Manager","Male","8780 Boynton Beach Blvd","Boynton Beach","FL","33472","4423","R035","800","Palm Beach","Miami-Ft Ldr, FL","","(561) 369-4800","8636165846","","Publix.Com","","541105","Grocers-Retail","","2011","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$28,390,000","","000000","","$0","Private","Branch","41-520-3789","004554150","000000000","","","","","0000","1ADMV","202011","10","","40,000 - 99,999","No","A","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Greg","Campbell","Manager","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$10,000 to $25,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","Over $500,000","$20,000 to $50,000","Over $100,000","","","","","","","","","","","","","","","","","","","","000000","","000000","No","2","Verified"
"Publix Super Market","Bill","Magewski","","General Mgr","Male","4760 W Hillsboro Blvd","Coconut Creek","FL","33073","4339","R003","609","Broward","Miami-Ft Ldr, FL","","(954) 422-5485","9544218257","","Publix.Com","","541105","Grocers-Retail","Regular","2009","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00110","$20-50 Million","$21,051,000","","000000","","$0","Private","Branch","69-358-7172","004554150","000000000","","","","","0000","1ADMV","202011","12","","40,000 - 99,999","No","A","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Bill","Magewski","General Mgr","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$5,000 to $10,000","$50,000 to $100,000","$25,000 to $50,000","Over $50,000","$1 to $2.5 Million","$10,000 to $25,000","$50,000 to $100,000","$5,000 to $20,000","$5,000 to $10,000","","Coconut Creek","FL","33073","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","Richard","Reynolds","","Site Manager","Male","4849 Coconut Creek Pkwy","Coconut Creek","FL","33063","3944","C024","492","Broward","Miami-Ft Ldr, FL","Coco Parc Condominiums","(954) 975-2490","9549752042","","Publix.Com","Founded IN 1930, Publix Super Markets Is One Of The Largest Supermarket Chains IN The United States. The Company Specializes IN A Variety Of Grocery Products, Such As Meat, Seafood, Dairy Items, And Natural And Organic Foods. It Operates Deli, Bakery And Produce Departments. Its Pharmacy Division Offers Medical Screenings And Insurance Services. The Retailer Also Provides Cakes And Desserts For Weddings And Special Occasions. IN Addition, Publix Super Markets Organizes Cooking Classes. It Operates A Food And Nutrition Center That Offers Information On Health, Recipes And Weight Management. The Retailer S Additional Services Include Gift Cards And Film Development. It Publishes A Magazine That Features Articles On Food And Nutrition. With A Presence IN Coconut Creek, Fla., Publix Super Markets Also Operates Distribution Centers And Manufacturing Facilities.","541105","Grocers-Retail","Bold","2003","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$26,792,000","","000000","","$0","Private","Branch","22-065-9742","004554150","000000000","","","","","0000","1ADMV","202011","18","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Richard","Reynolds","Site Manager","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$5,000 to $10,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","$25,000 to $50,000","$20,000 to $50,000","$5,000 to $10,000","","Coconut Creek","FL","33063","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","Scott","Fiorilli","","General Mgr","Male","5365 Lyons Rd","Coconut Creek","FL","33073","2810","R045","652","Broward","Miami-Ft Ldr, FL","Winston Park","(954) 427-0563","8636165846","","Publix.Com","","541105","Grocers-Retail","In-Column","2001","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$26,792,000","","000000","","$0","Private","Branch","56-598-5736","004554150","000000000","","","","","0000","1ADMV","202011","20","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Scott","Fiorilli","General Mgr","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$5,000 to $10,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","$50,000 to $100,000","$20,000 to $50,000","$5,000 to $10,000","","Coconut Creek","FL","33073","","","","http://twitter.com/publixjobs","http://www.linkedin.com/company/publix-super-markets/careers?trk=top_nav_careers","http://www.facebook.com/publix","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","Pete","Smith","","General Mgr","Male","6570 N State Road 7","Coconut Creek","FL","33073","3625","R070","701","Broward","Miami-Ft Ldr, FL","","(954) 425-0400","9544288805","8002421227","Publix.Com","Founded IN 1930, Publix Super Markets Is One Of The Largest Supermarket Chains IN The United States. The Company Specializes IN A Variety Of Grocery Products, Such As Meat, Seafood, Dairy Items, And Natural And Organic Foods. It Operates Deli, Bakery And Produce Departments. Its Pharmacy Division Offers Medical Screenings And Insurance Services. The Retailer Also Provides Cakes And Desserts For Weddings And Special Occasions. IN Addition, Publix Super Markets Organizes Cooking Classes. It Operates A Food And Nutrition Center That Offers Information On Health, Recipes And Weight Management. The Retailer S Additional Services Include Gift Cards And Film Development. It Publishes A Magazine That Features Articles On Food And Nutrition. With A Presence IN Coconut Creek, Fla., Publix Super Markets Also Operates Distribution Centers And Manufacturing Facilities.","541105","Grocers-Retail","Regular","2001","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","250 to 499","00406","$50-100 Million","$66,755,000","","000000","","$0","Private","Branch","46-942-0111","004554150","000000000","","","","","0000","1ADMV","202011","20","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Pete","Smith","General Mgr","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Over $25,000","Over $250,000","Over $50,000","$10,000 to $50,000","Over $100,000","$10,000 to $25,000","Over $250,000","$50,000 to $100,000","Over $50,000","$2.5 Million to $10 Million","Over $25,000","$50,000 to $100,000","$50,000 to $100,000","$5,000 to $10,000","","Coconut Creek","FL","33073","","","","http://twitter.com/publixjobs","","http://www.facebook.com/publix","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","Isaac","Cohen","","General Mgr","Male","10018 Griffin Rd","Cooper City","FL","33328","3301","C017","185","Broward","Miami-Ft Ldr, FL","Pine Lake","(954) 434-5728","9548800049","","Publix.Com","","541105","Grocers-Retail","Regular","2009","541105","Grocers-Retail","","","592102","Liquors-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44531004","Beer, Wine & Liquor Stores","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$26,792,000","","000000","","$0","Private","Branch","69-631-5563","004554150","000000000","","","","","0000","1ADMV","202011","12","","40,000 - 99,999","No","A","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Isaac","Cohen","General Mgr","Male","Katie","Scanlon","General Mgr","Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$5,000 to $10,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","$50,000 to $100,000","$20,000 to $50,000","$25,000 to $50,000","","Cooper City","FL","33328","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","","","","","","5656 S Flamingo Rd","Cooper City","FL","33330","3236","C011","563","Broward","Miami-Ft Ldr, FL","","(954) 434-8240","9546802604","","Publix.Com","","541105","Grocers-Retail","Regular","1986","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","250 to 499","00260","$20-50 Million","$49,756,000","","000000","","$0","Private","Branch","81-825-4104","004554150","000000000","","","","","0000","1ADMV","202011","35","","40,000 - 99,999","No","A+","0","","Lease","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Over $25,000","Over $250,000","$10,000 to $50,000","$10,000 to $50,000","Over $100,000","$10,000 to $25,000","$100,000 to $250,000","$50,000 to $100,000","Over $50,000","$2.5 Million to $10 Million","Over $25,000","$50,000 to $100,000","$20,000 to $50,000","$5,000 to $10,000","","Cooper City","FL","33330","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","Joe","Faircloth","","General Mgr","Male","1401 Monza Ave","Coral Gables","FL","33146","3117","C062","010","Miami Dade","Miami-Ft Ldr, FL","Riviera","(305) 667-1681","3056677023","","Publix.Com","Founded IN 1930, Publix Super Markets Is One Of The Largest Supermarket Chains IN The United States. The Company Specializes IN A Variety Of Grocery Products, Such As Meat, Seafood, Dairy Items, And Natural And Organic Foods. It Operates Deli, Bakery And Produce Departments. Its Pharmacy Division Offers Medical Screenings And Insurance Services. The Retailer Also Provides Cakes And Desserts For Weddings And Special Occasions. IN Addition, Publix Super Markets Organizes Cooking Classes. It Operates A Food And Nutrition Center That Offers Information On Health, Recipes And Weight Management. The Retailer S Additional Services Include Gift Cards And Film Development. It Publishes A Magazine That Features Articles On Food And Nutrition. With A Presence IN Coral Gables, Fla., Publix Super Markets Also Operates Distribution Centers And Manufacturing Facilities.","541105","Grocers-Retail","Regular","1984","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00180","$20-50 Million","$37,038,000","","000000","","$0","Private","Branch","49-429-7856","004554150","000000000","","","","","0000","1ADMV","202011","37","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Joe","Faircloth","General Mgr","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","Over $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$10,000 to $25,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","Over $500,000","$20,000 to $50,000","Over $100,000","","","","","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
"Publix Super Market","George","Riviro","","General Mgr","Male","1500 S Douglas Rd","Coral Gables","FL","33134","4108","C013","003","Miami Dade","Miami-Ft Ldr, FL","Douglas","(305) 445-3221","3054416417","","Publix.Com","Founded IN 1930, Publix Super Markets Is One Of The Largest Supermarket Chains IN The United States. The Company Specializes IN A Variety Of Grocery Products, Such As Meat, Seafood, Dairy Items, And Natural And Organic Foods. It Operates Deli, Bakery And Produce Departments. Its Pharmacy Division Offers Medical Screenings And Insurance Services. The Retailer Also Provides Cakes And Desserts For Weddings And Special Occasions. IN Addition, Publix Super Markets Organizes Cooking Classes. It Operates A Food And Nutrition Center That Offers Information On Health, Recipes And Weight Management. The Retailer S Additional Services Include Gift Cards And Film Development. It Publishes A Magazine That Features Articles On Food And Nutrition. With A Presence IN Coral Gables, Fla., Publix Super Markets Also Operates Distribution Centers And Manufacturing Facilities.","541105","Grocers-Retail","Regular","2003","541105","Grocers-Retail","","","591205","Pharmacies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44611009","Pharmacies & Drug Stores","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$28,808,000","","000000","","$0","Private","Branch","23-487-2547","004554150","000000000","","","","","0000","1ADMV","202011","18","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","George","Riviro","General Mgr","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$10,000 to $25,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","$50,000 to $100,000","$20,000 to $50,000","$10,000 to $25,000","","","","","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","5","Verified"
"Publix Super Market","Shane","Nelson","","General Mgr","Male","2551 S Le Jeune Rd","Coral Gables","FL","33134","5805","C019","512","Miami Dade","Miami-Ft Ldr, FL","Crafts","(305) 445-2641","","","Publix.Com","Founded IN 1930, Publix Super Markets Is One Of The Largest Supermarket Chains IN The United States. The Company Specializes IN A Variety Of Grocery Products, Such As Meat, Seafood, Dairy Items, And Natural And Organic Foods. It Operates Deli, Bakery And Produce Departments. Its Pharmacy Division Offers Medical Screenings And Insurance Services. The Retailer Also Provides Cakes And Desserts For Weddings And Special Occasions. IN Addition, Publix Super Markets Organizes Cooking Classes. It Operates A Food And Nutrition Center That Offers Information On Health, Recipes And Weight Management. The Retailer S Additional Services Include Gift Cards And Film Development. It Publishes A Magazine That Features Articles On Food And Nutrition. With A Presence IN Coral Gables, Fla., Publix Super Markets Also Operates Distribution Centers And Manufacturing Facilities.","541105","Grocers-Retail","Regular","1994","541105","Grocers-Retail","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","44511003","Supermarkets/Other Grocery (Exc Convenience) Strs","","","","","","","","","","","","","","","","","","","Publix Super Market","","","","","","","100 to 249","00140","$20-50 Million","$28,808,000","","000000","","$0","Private","Branch","49-431-4800","004554150","000000000","","","","","0000","1ADMV","202011","27","","40,000 - 99,999","No","A+","0","","","2","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","0700","2200","Shane","Nelson","General Mgr","Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","$10,000 to $25,000","$100,000 to $250,000","$10,000 to $50,000","$10,000 to $50,000","$50,000 to $100,000","$10,000 to $25,000","$100,000 to $250,000","$25,000 to $50,000","Over $50,000","$2.5 Million to $10 Million","$10,000 to $25,000","Over $500,000","$20,000 to $50,000","Over $100,000","","","","","","","","http://twitter.com/publix","","","","","","","","","","","","000000","","000000","No","1","Verified"
